5;-10
9;-9
-5;3
1;0
0;6
0;-6
6;5
6;-4
-7;-3
-7;8
3;-2
-1;3
10;4
3;9
3;8
-3;-3
9;-4
-1;-7
10;-10
4;-1
6;-6
4;2
9;-1
9;-9
7;-8
10;-1
0;-1
-8;0
-8;6
-1;6
4;7
-7;2
-8;2
5;-9
2;-2
1;-2
2;-5
-10;0
5;9
2;1
-9;2
-10;1
-10;-8
-9;-7
8;0
9;1
-4;-8
-8;-1
4;7
1;-4
-5;-9
5;7
-3;5
-3;-9
4;10
3;5
1;3
-4;2
5;-3
6;3
8;5
-6;-6
7;-4
3;1
-7;-7
7;-1
-5;1
-5;2
-4;3
4;-10
2;-4
5;-7
9;-9
5;4
-1;1
-3;-4
-5;1
0;-8
8;-7
3;-9
-3;-1
0;3
-10;6
-5;-3
-2;9
-3;-10
-5;-8
-6;-7
-7;10
8;2
0;-5
9;6
7;-1
8;4
2;0
6;10
10;-5
2;10
-9;7
-3;0
