8;-4;4
-6;2;-4
5;7;10
-9;-5;-2
8;-3;5
-9;-7;6
4;9;0
5;-10;-8
0;-1;2
-7;-4;-5
-10;-6;2
4;-1;-7
-10;-7;-10
-10;-6;-5
-2;-8;2
-7;-6;6
10;8;5
-1;2;6
2;-8;-5
-6;-5;1
-1;-4;5
-10;-10;-7
-6;-9;-3
-6;-9;2
-1;0;5
-9;3;9
8;2;6
2;-9;-2
-2;4;0
3;8;6
-7;-4;-8
9;-3;-8
-8;1;-6
-1;5;-5
-9;-6;6
6;-5;-2
5;-8;-10
1;5;-8
9;-8;6
-1;6;4
-5;9;-10
-3;8;-3
0;10;8
4;-2;3
9;0;7
5;-5;-8
-7;10;-5
-7;0;10
-4;-1;-8
-8;8;8
7;-7;7
7;0;4
-7;10;3
-9;3;-9
5;2;1
2;-4;7
4;-1;7
10;3;-3
10;10;6
-9;-8;4
10;9;7
7;5;-3
1;9;-4
-7;10;10
-5;5;2
7;-4;9
3;-10;-2
-1;10;-9
6;9;-9
2;-10;-7
-5;-10;-9
-8;7;7
-1;-2;5
6;2;5
6;7;0
-2;4;6
-4;-4;6
5;6;6
6;2;5
8;-7;6
-10;-1;6
-8;1;3
10;-10;-10
4;6;2
-1;2;-1
9;10;-8
5;-4;-1
1;-10;-6
-4;7;6
-10;4;10
6;4;-2
2;7;10
-5;6;-10
-4;0;6
9;10;-2
-3;8;-3
0;3;3
9;-7;3
-7;-1;-1
10;0;-7
9;-4;7
-3;9;4
-3;-7;0
-3;0;10
-7;-2;9
1;6;7
8;-5;-1
1;-6;2
-6;-3;-9
4;-3;1
7;-5;8
4;3;6
-3;10;10
7;-3;-1
7;0;7
5;-10;2
2;9;7
-10;0;-10
2;4;-2
4;-3;5
-6;-6;-10
-9;8;4
8;-5;4
7;-8;-10
-5;9;0
-9;4;1
3;-4;-1
0;-4;9
1;9;3
9;2;-10
4;7;-6
5;8;-8
-2;5;-3
-9;1;0
-9;7;-1
1;8;-7
-9;1;-1
1;-10;6
0;1;4
-8;0;-4
-8;-6;-8
-3;9;-10
-1;-4;6
7;-3;-3
-3;-1;-7
6;-10;-10
10;-8;1
-2;3;1
-7;-7;-8
8;-4;2
-7;-1;6
-4;6;5
-4;-5;-10
-9;-8;-2
-2;-1;8
1;-5;8
1;-6;10
-8;3;3
4;7;7
6;5;-8
-2;9;1
-6;-6;-4
9;0;2
10;2;4
-2;10;-7
-5;0;-2
-8;-9;3
-8;-6;-4
5;8;-7
1;3;8
4;-9;6
-6;-4;-10
1;-6;1
-8;-6;-8
7;2;-9
10;7;2
-2;9;3
-10;-9;8
-3;7;5
0;-3;-2
-2;-9;-1
-6;-5;5
-6;6;10
5;9;-6
7;6;6
9;5;2
0;-8;1
-7;-7;3
-10;0;-1
5;-10;6
-8;-2;8
2;2;-8
-3;7;9
-4;1;8
0;-2;3
-4;-4;-3
9;7;0
-1;10;3
-9;-10;-7
0;5;-7
-4;8;1
-7;-1;-7
-4;7;10
-6;-8;1
-8;3;9
5;9;-5
-9;7;-9
2;-4;-9
-6;-2;-9
-3;9;7
1;-5;4
-9;-1;-7
-5;5;10
-6;10;-8
5;-9;5
4;6;4
9;8;1
10;-1;7
-10;4;-5
-9;-9;-7
9;2;-1
2;4;8
6;9;3
5;-7;3
8;8;4
3;1;0
-4;0;-2
8;-1;8
5;0;1
10;2;3
-7;0;-5
2;-8;9
0;8;8
-8;3;-10
5;0;9
-1;-7;0
9;0;10
-3;-3;-2
-6;-9;9
6;-10;0
-2;-6;-10
3;6;-8
2;-5;10
-1;-3;3
0;-8;-7
-2;1;-4
9;0;6
8;7;-8
-4;-10;-7
-6;6;-6
5;-6;-2
5;7;-6
8;-2;-1
8;8;7
0;-3;9
3;6;0
9;4;10
4;1;6
7;7;7
10;-9;3
-6;6;7
2;1;3
7;-2;-9
-5;-5;9
-8;6;-4
-9;-2;-8
1;-4;6
1;-10;-3
-3;7;-6
-7;7;-4
7;-9;-9
3;4;3
-4;0;-10
-3;5;-4
-4;8;-9
3;9;-1
5;0;6
1;-10;7
8;-3;4
-8;1;1
-2;-3;2
0;-10;-5
-8;-4;5
-7;4;-1
-1;-10;-3
1;3;-5
10;-2;5
6;9;6
3;7;-8
-4;10;4
7;-3;-9
-2;8;-9
4;10;-2
-2;-7;-8
8;3;-7
-6;-7;7
-1;-7;-6
-6;10;-8
10;2;10
-8;8;9
